"gene","cluster_id","baseMean","logFC","lfcSE","stat","p_val","p_adj.loc","p_adj.glb","contrast","comparison_type","method"
"Tor4a","NK_cells",39.1,-0.276,0.338,-0.818,0.414,0.712,0.701,"WB","Compartment","muscat_DESeq2"
"Nelfb","NK_cells",41.9,0.169,0.351,0.482,0.63,0.848,0.841,"WB","Compartment","muscat_DESeq2"
"Tubb4b","NK_cells",137,0.324,0.284,1.14,0.255,0.574,0.555,"WB","Compartment","muscat_DESeq2"
"Ndor1","NK_cells",16.1,0.000111,0.483,0.000231,1,1,1,"WB","Compartment","muscat_DESeq2"
"Ssna1","NK_cells",40.9,0.48,0.333,1.44,0.149,0.439,0.421,"WB","Compartment","muscat_DESeq2"
"Anapc2","NK_cells",33.7,0.164,0.341,0.479,0.632,0.849,0.842,"WB","Compartment","muscat_DESeq2"
"Man1b1","NK_cells",21.4,-0.109,0.428,-0.256,0.798,0.924,0.924,"WB","Compartment","muscat_DESeq2"
"Abca2","NK_cells",38.8,-0.86,0.338,-2.55,0.0108,0.0866,0.0812,"WB","Compartment","muscat_DESeq2"
"Paxx","NK_cells",23.8,-0.338,0.391,-0.864,0.387,0.696,0.681,"WB","Compartment","muscat_DESeq2"
"Traf2","NK_cells",20.1,-0.126,0.437,-0.289,0.773,0.915,0.913,"WB","Compartment","muscat_DESeq2"
"Edf1","NK_cells",154,0.276,0.278,0.995,0.32,0.637,0.622,"WB","Compartment","muscat_DESeq2"
"Rabl6","NK_cells",35.8,-0.323,0.343,-0.942,0.346,0.664,0.648,"WB","Compartment","muscat_DESeq2"
"Ubac1","NK_cells",22.1,-0.407,0.409,-0.996,0.319,0.636,0.622,"WB","Compartment","muscat_DESeq2"
"Dnlz","NK_cells",17.4,-0.487,0.467,-1.04,0.297,0.616,0.6,"WB","Compartment","muscat_DESeq2"
"Snapc4","NK_cells",13.4,-1.2,0.522,-2.3,0.0217,0.139,0.13,"WB","Compartment","muscat_DESeq2"
"Entr1","NK_cells",39.9,0.235,0.413,0.569,0.57,0.811,0.803,"WB","Compartment","muscat_DESeq2"
