"gene","cluster_id","baseMean","logFC","lfcSE","stat","p_val","p_adj.loc","p_adj.glb","contrast","comparison_type","method"
"Lrba","NKT_cells",156,-0.305,0.241,-1.27,0.204,0.633,0.497,"WB","Compartment","muscat_DESeq2"
"Cd1d1","NKT_cells",19.7,1.24,0.528,2.35,0.0186,0.201,0.117,"WB","Compartment","muscat_DESeq2"
"Etv3","NKT_cells",62.2,-0.29,0.33,-0.878,0.38,0.776,0.676,"WB","Compartment","muscat_DESeq2"
"Arhgef11","NKT_cells",11.2,-0.148,0.687,-0.216,0.829,0.96,0.938,"WB","Compartment","muscat_DESeq2"
"Pear1","NKT_cells",50.6,-0.354,0.354,-1,0.317,0.731,0.62,"WB","Compartment","muscat_DESeq2"
"Sh2d2a","NKT_cells",165,0.65,0.24,2.71,0.00666,0.11,0.058,"WB","Compartment","muscat_DESeq2"
"Prcc","NKT_cells",47.3,0.279,0.36,0.776,0.438,0.805,0.718,"WB","Compartment","muscat_DESeq2"
"Hdgf","NKT_cells",101,-0.288,0.33,-0.872,0.383,0.777,0.678,"WB","Compartment","muscat_DESeq2"
"Mrpl24","NKT_cells",103,0.238,0.266,0.896,0.37,0.768,0.668,"WB","Compartment","muscat_DESeq2"
"Rrnad1","NKT_cells",28.1,-0.118,0.453,-0.26,0.795,0.95,0.923,"WB","Compartment","muscat_DESeq2"
"Isg20l2","NKT_cells",53.8,0.0912,0.353,0.258,0.796,0.95,0.923,"WB","Compartment","muscat_DESeq2"
"Gpatch4","NKT_cells",48.1,-0.857,0.373,-2.3,0.0215,0.216,0.129,"WB","Compartment","muscat_DESeq2"
"Naxe","NKT_cells",44.8,0.279,0.37,0.753,0.451,0.814,0.729,"WB","Compartment","muscat_DESeq2"
"Mef2d","NKT_cells",154,0.204,0.244,0.838,0.402,0.787,0.693,"WB","Compartment","muscat_DESeq2"
"Tsacc","NKT_cells",13.7,-0.106,0.62,-0.172,0.864,0.971,0.952,"WB","Compartment","muscat_DESeq2"
"Cct3","NKT_cells",149,0.236,0.286,0.827,0.408,0.789,0.697,"WB","Compartment","muscat_DESeq2"
"Glmp","NKT_cells",59,0.678,0.337,2.01,0.0441,0.316,0.206,"WB","Compartment","muscat_DESeq2"
"Smg5","NKT_cells",49.3,-0.0152,0.357,-0.0426,0.966,0.992,0.988,"WB","Compartment","muscat_DESeq2"
"Pmf1","NKT_cells",20.5,0.147,0.513,0.286,0.775,0.945,0.914,"WB","Compartment","muscat_DESeq2"
"Slc25a44","NKT_cells",16.1,-0.144,0.57,-0.252,0.801,0.952,0.925,"WB","Compartment","muscat_DESeq2"
"Sema4a","NKT_cells",158,-0.533,0.255,-2.09,0.0364,0.29,0.183,"WB","Compartment","muscat_DESeq2"
"Lmna","NKT_cells",22.5,1.2,0.591,2.04,0.0418,0.309,0.2,"WB","Compartment","muscat_DESeq2"
"Lamtor2","NKT_cells",126,0.38,0.288,1.32,0.187,0.612,0.475,"WB","Compartment","muscat_DESeq2"
"Ubqln4","NKT_cells",29.1,-0.334,0.447,-0.748,0.454,0.815,0.731,"WB","Compartment","muscat_DESeq2"
"Ssr2","NKT_cells",69.8,0.0766,0.329,0.233,0.816,0.955,0.931,"WB","Compartment","muscat_DESeq2"
"Arhgef2","NKT_cells",112,-0.345,0.274,-1.26,0.208,0.635,0.501,"WB","Compartment","muscat_DESeq2"
"Khdc4","NKT_cells",104,0.306,0.275,1.11,0.266,0.685,0.567,"WB","Compartment","muscat_DESeq2"
"Rit1","NKT_cells",29.3,-0.214,0.439,-0.488,0.625,0.894,0.838,"WB","Compartment","muscat_DESeq2"
"Syt11","NKT_cells",25,0.163,0.475,0.342,0.732,0.931,0.894,"WB","Compartment","muscat_DESeq2"
"1500004A13Rik","NKT_cells",13.9,-0.412,0.627,-0.657,0.511,0.84,0.768,"WB","Compartment","muscat_DESeq2"
"Gon4l","NKT_cells",149,-0.112,0.243,-0.46,0.646,0.904,0.85,"WB","Compartment","muscat_DESeq2"
"Msto1","NKT_cells",16.9,-0.331,0.575,-0.575,0.565,0.865,0.8,"WB","Compartment","muscat_DESeq2"
"Dap3","NKT_cells",64.4,0.121,0.317,0.382,0.702,0.922,0.879,"WB","Compartment","muscat_DESeq2"
"Ash1l","NKT_cells",258,-0.266,0.212,-1.26,0.209,0.636,0.502,"WB","Compartment","muscat_DESeq2"
"Rusc1","NKT_cells",40.2,0.535,0.384,1.39,0.164,0.58,0.442,"WB","Compartment","muscat_DESeq2"
"Fdps","NKT_cells",24.1,0.544,0.488,1.12,0.265,0.685,0.566,"WB","Compartment","muscat_DESeq2"
"Clk2","NKT_cells",80.2,0.00824,0.317,0.026,0.979,0.996,0.994,"WB","Compartment","muscat_DESeq2"
"Scamp3","NKT_cells",115,0.602,0.264,2.28,0.0225,0.221,0.133,"WB","Compartment","muscat_DESeq2"
"Gm16069","NKT_cells",14.9,0.0438,0.604,0.0726,0.942,0.988,0.981,"WB","Compartment","muscat_DESeq2"
"Entrep3","NKT_cells",151,0.351,0.241,1.46,0.145,0.551,0.413,"WB","Compartment","muscat_DESeq2"
"Gba","NKT_cells",32,-0.0249,0.464,-0.0537,0.957,0.989,0.985,"WB","Compartment","muscat_DESeq2"
"Mtx1","NKT_cells",35.5,0.123,0.444,0.277,0.782,0.948,0.917,"WB","Compartment","muscat_DESeq2"
"Krtcap2","NKT_cells",174,0.527,0.263,2.01,0.0449,0.318,0.207,"WB","Compartment","muscat_DESeq2"
"Dpm3","NKT_cells",49.1,0.681,0.417,1.63,0.102,0.472,0.338,"WB","Compartment","muscat_DESeq2"
"Slc50a1","NKT_cells",132,0.652,0.257,2.53,0.0114,0.15,0.0842,"WB","Compartment","muscat_DESeq2"
"Zbtb7b","NKT_cells",18.7,-0.62,0.565,-1.1,0.273,0.692,0.574,"WB","Compartment","muscat_DESeq2"
"Flad1","NKT_cells",22,0.0706,0.491,0.144,0.886,0.976,0.962,"WB","Compartment","muscat_DESeq2"
"Cks1b","NKT_cells",11.5,-0.662,0.738,-0.896,0.37,0.768,0.668,"WB","Compartment","muscat_DESeq2"
"Shc1","NKT_cells",37.7,0.725,0.402,1.8,0.0712,0.398,0.273,"WB","Compartment","muscat_DESeq2"
"Pygo2","NKT_cells",25.6,0.00484,0.471,0.0103,0.992,0.998,0.998,"WB","Compartment","muscat_DESeq2"
"Pbxip1","NKT_cells",154,0.212,0.242,0.875,0.381,0.776,0.677,"WB","Compartment","muscat_DESeq2"
"Pmvk","NKT_cells",10.1,-0.367,0.778,-0.472,0.637,0.899,0.845,"WB","Compartment","muscat_DESeq2"
"Adar","NKT_cells",73.7,-0.154,0.316,-0.487,0.626,0.894,0.838,"WB","Compartment","muscat_DESeq2"
"Ube2q1","NKT_cells",52.4,-0.193,0.432,-0.446,0.655,0.907,0.855,"WB","Compartment","muscat_DESeq2"
"Il6ra","NKT_cells",34.1,0.111,0.417,0.267,0.789,0.949,0.92,"WB","Compartment","muscat_DESeq2"
"Atp8b2","NKT_cells",52.4,-0.266,0.424,-0.628,0.53,0.849,0.78,"WB","Compartment","muscat_DESeq2"
"Hax1","NKT_cells",26.9,0.198,0.486,0.407,0.684,0.915,0.87,"WB","Compartment","muscat_DESeq2"
"Ubap2l","NKT_cells",167,-0.137,0.239,-0.573,0.567,0.866,0.801,"WB","Compartment","muscat_DESeq2"
"4933434E20Rik","NKT_cells",48.9,0.213,0.358,0.597,0.551,0.858,0.791,"WB","Compartment","muscat_DESeq2"
"Tpm3","NKT_cells",626,0.102,0.188,0.545,0.586,0.875,0.814,"WB","Compartment","muscat_DESeq2"
"Rps27","NKT_cells",1040,1.13,0.277,4.06,0.000049,0.00291,0.00136,"WB","Compartment","muscat_DESeq2"
"Jtb","NKT_cells",84.7,0.32,0.293,1.09,0.275,0.692,0.576,"WB","Compartment","muscat_DESeq2"
"Slc39a1","NKT_cells",10.5,0.787,0.723,1.09,0.276,0.693,0.578,"WB","Compartment","muscat_DESeq2"
"Crtc2","NKT_cells",50.5,0.805,0.35,2.3,0.0213,0.216,0.129,"WB","Compartment","muscat_DESeq2"
"Dennd4b","NKT_cells",36,-0.858,0.422,-2.04,0.0418,0.309,0.2,"WB","Compartment","muscat_DESeq2"
"Gatad2b","NKT_cells",135,0.115,0.244,0.474,0.636,0.899,0.845,"WB","Compartment","muscat_DESeq2"
"Ints3","NKT_cells",47.7,0.125,0.393,0.318,0.75,0.938,0.903,"WB","Compartment","muscat_DESeq2"
"Ilf2","NKT_cells",80.2,0.321,0.301,1.07,0.286,0.703,0.588,"WB","Compartment","muscat_DESeq2"
"Snapin","NKT_cells",39,0.264,0.392,0.675,0.5,0.835,0.76,"WB","Compartment","muscat_DESeq2"
"Chtop","NKT_cells",99.2,-0.156,0.281,-0.555,0.579,0.872,0.809,"WB","Compartment","muscat_DESeq2"
"S100a13","NKT_cells",85.7,0.471,0.347,1.36,0.174,0.592,0.457,"WB","Compartment","muscat_DESeq2"
"S100a4","NKT_cells",82.8,1.07,0.769,1.39,0.166,0.582,0.446,"WB","Compartment","muscat_DESeq2"
"S100a6","NKT_cells",405,0.48,0.245,1.96,0.0499,0.334,0.221,"WB","Compartment","muscat_DESeq2"
"S100a8","NKT_cells",339,-4.07,0.813,-5,0.000000574,0.0000704,0.0000372,"WB","Compartment","muscat_DESeq2"
"S100a9","NKT_cells",701,-4.03,1.19,-3.39,0.000696,0.0222,0.0108,"WB","Compartment","muscat_DESeq2"
"S100a11","NKT_cells",299,0.4,0.28,1.43,0.153,0.565,0.427,"WB","Compartment","muscat_DESeq2"
"S100a10","NKT_cells",583,0.634,0.222,2.85,0.00433,0.0836,0.0424,"WB","Compartment","muscat_DESeq2"
"Mrpl9","NKT_cells",84.6,0.658,0.292,2.26,0.024,0.231,0.14,"WB","Compartment","muscat_DESeq2"
"Snx27","NKT_cells",51.2,-0.405,0.355,-1.14,0.254,0.675,0.554,"WB","Compartment","muscat_DESeq2"
"Pogz","NKT_cells",50.2,0.161,0.377,0.426,0.67,0.91,0.862,"WB","Compartment","muscat_DESeq2"
"Psmb4","NKT_cells",135,0.157,0.258,0.609,0.543,0.856,0.787,"WB","Compartment","muscat_DESeq2"
"Rfx5","NKT_cells",15.1,-0.885,0.626,-1.41,0.158,0.574,0.434,"WB","Compartment","muscat_DESeq2"
"Pi4kb","NKT_cells",36.5,-0.263,0.423,-0.623,0.534,0.851,0.782,"WB","Compartment","muscat_DESeq2"
"Zfp687","NKT_cells",25.8,-0.246,0.471,-0.522,0.602,0.883,0.824,"WB","Compartment","muscat_DESeq2"
"Psmd4","NKT_cells",143,0.588,0.248,2.37,0.0176,0.195,0.113,"WB","Compartment","muscat_DESeq2"
"Pip5k1a","NKT_cells",55.7,0.186,0.339,0.549,0.583,0.874,0.812,"WB","Compartment","muscat_DESeq2"
"Vps72","NKT_cells",53.8,0.418,0.347,1.2,0.228,0.651,0.525,"WB","Compartment","muscat_DESeq2"
"Scnm1","NKT_cells",26.7,0.0876,0.461,0.19,0.849,0.967,0.946,"WB","Compartment","muscat_DESeq2"
"Tnfaip8l2","NKT_cells",80.6,-0.0561,0.292,-0.192,0.848,0.967,0.946,"WB","Compartment","muscat_DESeq2"
"Gabpb2","NKT_cells",127,-0.282,0.256,-1.1,0.271,0.69,0.573,"WB","Compartment","muscat_DESeq2"
"Mllt11","NKT_cells",22.1,1.35,0.516,2.61,0.00903,0.131,0.0715,"WB","Compartment","muscat_DESeq2"
"Cdc42se1","NKT_cells",233,0.445,0.215,2.07,0.0382,0.297,0.189,"WB","Compartment","muscat_DESeq2"
"Prune1","NKT_cells",13.9,0.0337,0.611,0.0552,0.956,0.989,0.984,"WB","Compartment","muscat_DESeq2"
"Mindy1","NKT_cells",13.6,0.00185,0.654,0.00284,0.998,1,1,"WB","Compartment","muscat_DESeq2"
"Cers2","NKT_cells",79.1,0.317,0.292,1.08,0.279,0.697,0.581,"WB","Compartment","muscat_DESeq2"
"Setdb1","NKT_cells",41.4,-0.277,0.383,-0.723,0.469,0.823,0.742,"WB","Compartment","muscat_DESeq2"
"Arnt","NKT_cells",61.3,0.203,0.323,0.629,0.529,0.849,0.78,"WB","Compartment","muscat_DESeq2"
"Ctss","NKT_cells",72.1,0.593,0.307,1.93,0.0537,0.346,0.23,"WB","Compartment","muscat_DESeq2"
"Golph3l","NKT_cells",25,-1.71,0.517,-3.3,0.000954,0.0278,0.0138,"WB","Compartment","muscat_DESeq2"
"Ensa","NKT_cells",62.2,0.411,0.329,1.25,0.211,0.638,0.504,"WB","Compartment","muscat_DESeq2"
"Mcl1","NKT_cells",273,-0.392,0.545,-0.72,0.472,0.825,0.744,"WB","Compartment","muscat_DESeq2"
"Tars2","NKT_cells",27.4,0.12,0.45,0.266,0.79,0.95,0.92,"WB","Compartment","muscat_DESeq2"
"Rprd2","NKT_cells",93,-0.267,0.29,-0.919,0.358,0.76,0.658,"WB","Compartment","muscat_DESeq2"
"Prpf3","NKT_cells",42.2,0.199,0.376,0.529,0.597,0.882,0.822,"WB","Compartment","muscat_DESeq2"
"Mrps21","NKT_cells",66,0.684,0.407,1.68,0.0927,0.451,0.319,"WB","Compartment","muscat_DESeq2"
"Aph1a","NKT_cells",56.2,0.396,0.343,1.15,0.249,0.672,0.549,"WB","Compartment","muscat_DESeq2"
"Anp32e","NKT_cells",148,-0.313,0.249,-1.26,0.209,0.636,0.502,"WB","Compartment","muscat_DESeq2"
"Vps45","NKT_cells",17.9,-0.0957,0.541,-0.177,0.86,0.97,0.951,"WB","Compartment","muscat_DESeq2"
"Otud7b","NKT_cells",45.5,-0.451,0.366,-1.23,0.218,0.642,0.512,"WB","Compartment","muscat_DESeq2"
"Sf3b4","NKT_cells",76.1,0.897,0.316,2.84,0.00451,0.0854,0.0436,"WB","Compartment","muscat_DESeq2"
"Bola1","NKT_cells",32.6,-0.0577,0.421,-0.137,0.891,0.977,0.963,"WB","Compartment","muscat_DESeq2"
"H2ac20","NKT_cells",23.5,-1.44,0.523,-2.75,0.00593,0.101,0.0531,"WB","Compartment","muscat_DESeq2"
"Gm15441","NKT_cells",11.8,1.31,0.781,1.68,0.0926,0.451,0.319,"WB","Compartment","muscat_DESeq2"
"Txnip","NKT_cells",636,0.617,0.24,2.57,0.0103,0.142,0.0786,"WB","Compartment","muscat_DESeq2"
"Polr3gl","NKT_cells",45.8,0.054,0.373,0.145,0.885,0.976,0.961,"WB","Compartment","muscat_DESeq2"
"Rbm8a","NKT_cells",88.6,0.427,0.31,1.38,0.168,0.586,0.449,"WB","Compartment","muscat_DESeq2"
"Pex11b","NKT_cells",17.7,-0.00598,0.55,-0.0109,0.991,0.998,0.997,"WB","Compartment","muscat_DESeq2"
"Pias3","NKT_cells",14.7,-0.447,0.653,-0.685,0.493,0.832,0.756,"WB","Compartment","muscat_DESeq2"
"Polr3c","NKT_cells",53.3,-0.041,0.34,-0.12,0.904,0.979,0.968,"WB","Compartment","muscat_DESeq2"
"Rnf115","NKT_cells",98.2,0.311,0.277,1.12,0.262,0.682,0.563,"WB","Compartment","muscat_DESeq2"
"Cd160","NKT_cells",165,0.385,0.292,1.32,0.188,0.613,0.476,"WB","Compartment","muscat_DESeq2"
"Gpr89","NKT_cells",30,-0.359,0.44,-0.816,0.415,0.793,0.701,"WB","Compartment","muscat_DESeq2"
"Acp6","NKT_cells",23.1,0.42,0.495,0.849,0.396,0.785,0.688,"WB","Compartment","muscat_DESeq2"
"Bcl9","NKT_cells",11.6,-0.93,0.692,-1.34,0.179,0.6,0.464,"WB","Compartment","muscat_DESeq2"
"Chd1l","NKT_cells",55.8,0.00663,0.337,0.0197,0.984,0.997,0.996,"WB","Compartment","muscat_DESeq2"
"Fmo5","NKT_cells",13,-0.279,0.666,-0.418,0.676,0.912,0.865,"WB","Compartment","muscat_DESeq2"
"Prkab2","NKT_cells",9.32,0.806,0.805,1,0.317,0.73,0.62,"WB","Compartment","muscat_DESeq2"
"Pde4dip","NKT_cells",43,0.0952,0.38,0.251,0.802,0.952,0.926,"WB","Compartment","muscat_DESeq2"
"Sec22b","NKT_cells",53.1,0.507,0.343,1.48,0.139,0.542,0.405,"WB","Compartment","muscat_DESeq2"
"Notch2","NKT_cells",82,-0.693,0.316,-2.19,0.0283,0.254,0.155,"WB","Compartment","muscat_DESeq2"
"Phgdh","NKT_cells",65.9,0.00548,0.312,0.0176,0.986,0.997,0.996,"WB","Compartment","muscat_DESeq2"
"Wars2","NKT_cells",39.4,0.0536,0.424,0.126,0.899,0.979,0.966,"WB","Compartment","muscat_DESeq2"
"Wdr3","NKT_cells",59.1,-0.0464,0.326,-0.142,0.887,0.976,0.962,"WB","Compartment","muscat_DESeq2"
"Gdap2","NKT_cells",32.9,0.5,0.418,1.2,0.231,0.655,0.528,"WB","Compartment","muscat_DESeq2"
"Tent5c","NKT_cells",65.3,0.689,0.319,2.16,0.0308,0.265,0.164,"WB","Compartment","muscat_DESeq2"
"Man1a2","NKT_cells",120,-0.00685,0.279,-0.0246,0.98,0.996,0.994,"WB","Compartment","muscat_DESeq2"
"Ttf2","NKT_cells",19.6,0.0635,0.54,0.118,0.906,0.98,0.968,"WB","Compartment","muscat_DESeq2"
"Cd101","NKT_cells",39.4,0.146,0.397,0.367,0.713,0.924,0.884,"WB","Compartment","muscat_DESeq2"
"Cd2","NKT_cells",428,0.402,0.205,1.96,0.0498,0.334,0.22,"WB","Compartment","muscat_DESeq2"
"Gm32803","NKT_cells",15.5,1.06,0.613,1.73,0.0834,0.433,0.301,"WB","Compartment","muscat_DESeq2"
"Atp1a1","NKT_cells",158,0.136,0.25,0.544,0.586,0.875,0.814,"WB","Compartment","muscat_DESeq2"
"Slc22a15","NKT_cells",16,-1.39,0.617,-2.26,0.0239,0.231,0.139,"WB","Compartment","muscat_DESeq2"
"Sike1","NKT_cells",82.1,-0.051,0.308,-0.165,0.869,0.973,0.954,"WB","Compartment","muscat_DESeq2"
"Csde1","NKT_cells",274,0.44,0.216,2.04,0.0412,0.308,0.198,"WB","Compartment","muscat_DESeq2"
"Nras","NKT_cells",71.7,-0.193,0.318,-0.607,0.544,0.857,0.788,"WB","Compartment","muscat_DESeq2"
"Bcas2","NKT_cells",109,0.357,0.267,1.34,0.181,0.602,0.467,"WB","Compartment","muscat_DESeq2"
"Trim33","NKT_cells",109,-0.364,0.363,-1,0.316,0.73,0.619,"WB","Compartment","muscat_DESeq2"
"Hipk1","NKT_cells",309,-0.356,0.22,-1.62,0.106,0.48,0.345,"WB","Compartment","muscat_DESeq2"
"Gm15886","NKT_cells",10.8,-0.919,0.771,-1.19,0.234,0.656,0.531,"WB","Compartment","muscat_DESeq2"
"Dclre1b","NKT_cells",15.7,-0.485,0.603,-0.805,0.421,0.796,0.705,"WB","Compartment","muscat_DESeq2"
"Ap4b1","NKT_cells",16.9,-0.246,0.57,-0.431,0.666,0.91,0.861,"WB","Compartment","muscat_DESeq2"
"Ptpn22","NKT_cells",635,0.0799,0.195,0.41,0.682,0.914,0.868,"WB","Compartment","muscat_DESeq2"
"Gm15472","NKT_cells",23.8,-0.205,0.521,-0.394,0.694,0.918,0.875,"WB","Compartment","muscat_DESeq2"
"Gm43065","NKT_cells",31.9,-0.82,0.537,-1.53,0.127,0.518,0.383,"WB","Compartment","muscat_DESeq2"
"Rsbn1","NKT_cells",109,0.349,0.293,1.19,0.233,0.655,0.53,"WB","Compartment","muscat_DESeq2"
"Phtf1","NKT_cells",58.5,-0.106,0.328,-0.322,0.747,0.937,0.902,"WB","Compartment","muscat_DESeq2"
"Magi3","NKT_cells",31.2,0.0876,0.492,0.178,0.859,0.97,0.951,"WB","Compartment","muscat_DESeq2"
"Lrig2","NKT_cells",33.7,-0.333,0.427,-0.78,0.435,0.804,0.716,"WB","Compartment","muscat_DESeq2"
"Slc16a1","NKT_cells",21.6,-0.466,0.552,-0.845,0.398,0.785,0.69,"WB","Compartment","muscat_DESeq2"
"Ppm1j","NKT_cells",68,0.272,0.343,0.793,0.428,0.802,0.711,"WB","Compartment","muscat_DESeq2"
"Rhoc","NKT_cells",17.7,0.324,0.558,0.581,0.561,0.865,0.798,"WB","Compartment","muscat_DESeq2"
"Mov10","NKT_cells",40.5,-0.474,0.393,-1.21,0.228,0.651,0.524,"WB","Compartment","muscat_DESeq2"
"Capza1","NKT_cells",330,0.296,0.198,1.49,0.136,0.535,0.398,"WB","Compartment","muscat_DESeq2"
"St7l","NKT_cells",42.3,0.513,0.389,1.32,0.187,0.612,0.475,"WB","Compartment","muscat_DESeq2"
"Ddx20","NKT_cells",30.1,0.204,0.427,0.478,0.632,0.897,0.842,"WB","Compartment","muscat_DESeq2"
"Rap1a","NKT_cells",264,0.138,0.206,0.672,0.502,0.836,0.761,"WB","Compartment","muscat_DESeq2"
"Gm43329","NKT_cells",9.64,-0.98,0.828,-1.18,0.237,0.659,0.535,"WB","Compartment","muscat_DESeq2"
"Gm5547","NKT_cells",17.1,0.0155,0.557,0.0279,0.978,0.996,0.994,"WB","Compartment","muscat_DESeq2"
"Atp5pb","NKT_cells",229,0.306,0.217,1.41,0.159,0.575,0.436,"WB","Compartment","muscat_DESeq2"
"Wdr77","NKT_cells",37.3,-0.141,0.414,-0.34,0.734,0.932,0.895,"WB","Compartment","muscat_DESeq2"
"Gm42722","NKT_cells",26.7,0.531,0.466,1.14,0.254,0.674,0.554,"WB","Compartment","muscat_DESeq2"
"Chil3","NKT_cells",59.8,-1.85,1.72,-1.08,0.281,0.7,0.583,"WB","Compartment","muscat_DESeq2"
"2010016I18Rik","NKT_cells",45.3,-0.385,0.379,-1.01,0.31,0.726,0.614,"WB","Compartment","muscat_DESeq2"
"Dennd2d","NKT_cells",101,-0.0707,0.269,-0.263,0.793,0.95,0.922,"WB","Compartment","muscat_DESeq2"
"Cept1","NKT_cells",71,-0.348,0.309,-1.13,0.26,0.681,0.561,"WB","Compartment","muscat_DESeq2"
"Dram2","NKT_cells",35.8,-0.0981,0.409,-0.24,0.81,0.955,0.929,"WB","Compartment","muscat_DESeq2"
"Lrif1","NKT_cells",68.9,0.0584,0.319,0.183,0.855,0.969,0.949,"WB","Compartment","muscat_DESeq2"
"Cd53","NKT_cells",490,0.838,0.219,3.83,0.000127,0.00613,0.00293,"WB","Compartment","muscat_DESeq2"
"Gm27008","NKT_cells",10.9,0.148,0.709,0.209,0.834,0.962,0.94,"WB","Compartment","muscat_DESeq2"
"Kcna3","NKT_cells",21.3,1.19,0.518,2.3,0.0214,0.216,0.129,"WB","Compartment","muscat_DESeq2"
"AI504432","NKT_cells",35.9,-0.383,0.422,-0.908,0.364,0.766,0.663,"WB","Compartment","muscat_DESeq2"
"Cym","NKT_cells",23.4,-2.53,0.61,-4.15,0.0000327,0.00218,0.000987,"WB","Compartment","muscat_DESeq2"
"Lamtor5","NKT_cells",65.3,0.306,0.317,0.967,0.334,0.745,0.635,"WB","Compartment","muscat_DESeq2"
"Rbm15","NKT_cells",30.2,-0.0795,0.444,-0.179,0.858,0.97,0.951,"WB","Compartment","muscat_DESeq2"
"Strip1","NKT_cells",48.2,0.0224,0.383,0.0585,0.953,0.988,0.983,"WB","Compartment","muscat_DESeq2"
"Ahcyl1","NKT_cells",62,-0.273,0.33,-0.826,0.409,0.789,0.697,"WB","Compartment","muscat_DESeq2"
"Gstm1","NKT_cells",9.54,0.394,0.743,0.531,0.596,0.881,0.821,"WB","Compartment","muscat_DESeq2"
"Ampd2","NKT_cells",20.7,-0.196,0.54,-0.362,0.717,0.926,0.887,"WB","Compartment","muscat_DESeq2"
"Gnai3","NKT_cells",181,0.255,0.229,1.11,0.267,0.685,0.568,"WB","Compartment","muscat_DESeq2"
"Cyb561d1","NKT_cells",12.7,0.349,0.63,0.555,0.579,0.872,0.809,"WB","Compartment","muscat_DESeq2"
"Psma5","NKT_cells",101,-0.115,0.279,-0.41,0.682,0.914,0.868,"WB","Compartment","muscat_DESeq2"
"Sars","NKT_cells",105,0.0108,0.272,0.0397,0.968,0.993,0.989,"WB","Compartment","muscat_DESeq2"
"Tmem167b","NKT_cells",23.5,0.966,0.477,2.02,0.0429,0.313,0.202,"WB","Compartment","muscat_DESeq2"
"Taf13","NKT_cells",37.1,0.283,0.412,0.688,0.491,0.832,0.755,"WB","Compartment","muscat_DESeq2"
"Wdr47","NKT_cells",20,-0.165,0.517,-0.319,0.75,0.938,0.903,"WB","Compartment","muscat_DESeq2"
"Clcc1","NKT_cells",26.9,0.46,0.471,0.976,0.329,0.74,0.631,"WB","Compartment","muscat_DESeq2"
"Stxbp3","NKT_cells",42.7,-0.462,0.387,-1.19,0.232,0.655,0.529,"WB","Compartment","muscat_DESeq2"
"Prpf38b","NKT_cells",178,0.598,0.231,2.59,0.0097,0.137,0.0753,"WB","Compartment","muscat_DESeq2"
"Eeig2","NKT_cells",13.1,-0.369,0.642,-0.574,0.566,0.866,0.801,"WB","Compartment","muscat_DESeq2"
"Slc25a24","NKT_cells",40.9,-0.181,0.385,-0.471,0.638,0.899,0.845,"WB","Compartment","muscat_DESeq2"
"Vav3","NKT_cells",212,-0.391,0.227,-1.72,0.085,0.435,0.304,"WB","Compartment","muscat_DESeq2"
"Prmt6","NKT_cells",8.7,-1.15,0.823,-1.4,0.163,0.578,0.441,"WB","Compartment","muscat_DESeq2"
"Rnpc3","NKT_cells",56.5,0.667,0.332,2.01,0.0444,0.317,0.206,"WB","Compartment","muscat_DESeq2"
"S1pr1","NKT_cells",166,0.913,0.288,3.17,0.00153,0.0386,0.0194,"WB","Compartment","muscat_DESeq2"
"A930005H10Rik","NKT_cells",52.2,1.48,0.359,4.12,0.0000383,0.00244,0.00112,"WB","Compartment","muscat_DESeq2"
"Dph5","NKT_cells",67.2,0.159,0.326,0.486,0.627,0.894,0.839,"WB","Compartment","muscat_DESeq2"
"Slc30a7","NKT_cells",53.6,-0.308,0.348,-0.885,0.376,0.774,0.673,"WB","Compartment","muscat_DESeq2"
"Cdc14a","NKT_cells",56.4,-0.421,0.337,-1.25,0.212,0.639,0.505,"WB","Compartment","muscat_DESeq2"
"Rtca","NKT_cells",24.3,-0.00953,0.499,-0.0191,0.985,0.997,0.996,"WB","Compartment","muscat_DESeq2"
"Dbt","NKT_cells",12.1,0.394,0.652,0.604,0.546,0.857,0.789,"WB","Compartment","muscat_DESeq2"
"Trmt13","NKT_cells",30.4,-0.252,0.45,-0.561,0.575,0.87,0.807,"WB","Compartment","muscat_DESeq2"
"Sass6","NKT_cells",17.5,0.552,0.553,0.999,0.318,0.731,0.621,"WB","Compartment","muscat_DESeq2"
"Mfsd14a","NKT_cells",59.2,0.0668,0.334,0.2,0.841,0.964,0.943,"WB","Compartment","muscat_DESeq2"
"Slc35a3","NKT_cells",42.3,-0.111,0.373,-0.298,0.766,0.942,0.91,"WB","Compartment","muscat_DESeq2"
"Agl","NKT_cells",15.8,-1.16,0.624,-1.86,0.0631,0.373,0.254,"WB","Compartment","muscat_DESeq2"
"Frrs1","NKT_cells",36,-0.0879,0.407,-0.216,0.829,0.96,0.937,"WB","Compartment","muscat_DESeq2"
"Ptbp2","NKT_cells",81,0.245,0.299,0.819,0.413,0.792,0.7,"WB","Compartment","muscat_DESeq2"
"Tlcd4","NKT_cells",8.65,-1.78,0.871,-2.04,0.0409,0.307,0.197,"WB","Compartment","muscat_DESeq2"
"Alg14","NKT_cells",22.2,-1.1,0.545,-2.01,0.0442,0.316,0.206,"WB","Compartment","muscat_DESeq2"
"Abcd3","NKT_cells",22.8,-0.0576,0.506,-0.114,0.91,0.981,0.97,"WB","Compartment","muscat_DESeq2"
"Gclm","NKT_cells",44.8,-0.271,0.373,-0.726,0.468,0.822,0.741,"WB","Compartment","muscat_DESeq2"
"Dnttip2","NKT_cells",96.1,0.431,0.278,1.55,0.12,0.508,0.372,"WB","Compartment","muscat_DESeq2"
